Date,EUSTN_VV,FINCH_VV,MORLY_VV,RISEH_VV,RDMER_VV,ELMST_VV,EUSTN_NDVI,FINCH_NDVI,MORLY_NDVI,RISEH_NDVI,RDMER_NDVI,ELMST_NDVI,EUSTN_VWC,EUSTN_P,EUSTN_PE,FINCH_VWC,FINCH_P,FINCH_PE,MORLY_VWC,MORLY_P,MORLY_PE,RDMER_VWC,RDMER_P,RDMER_PE,RISEH_VWC,RISEH_P,RISEH_PE,ELMST_VWC,ELMST_P,ELMST_PE
24/06/2017,0.019416086,0.062074043,0.193944633,0.036337037,0.046626322,0.183467552,0.983593347,1.310517563,1.21654512,0.41860855,0.820513987,0.820513987,2.1,0,3.3,18.2,0,3.3,12.8,0,2.8,55.9,0.1,4.3,22.3,0.1,3.3,24,0,3.7
25/06/2017,0.025130177,0.111031756,0.166838646,0.057465412,0.05997058,0.170132622,0.983593347,1.310517563,1.21654512,0.41860855,0.820513987,0.820513987,1.6,0,2.3,17.5,0,2.5,11.9,0.1,1.9,47.8,0.5,2.9,21.6,0.2,3.4,24.7,0,2.6
27/06/2017,0.029571295,0.037984088,0.154087692,0.024298757,0.042130426,0.037408471,0.427778666,0.094899817,0.70790082,0.635351661,0.311082278,0.311082278,5,44.8,1.1,20,33.5,1.3,17.3,35.8,1.1,53.5,34.5,1.3,20.5,5.3,1.4,23.9,5.8,1.6
30/06/2017,0.026511839,0.071003594,0.165767655,0.037606709,0.138454288,0.128719583,0.427778666,0.094899817,0.70790082,0.635351661,0.311082278,0.311082278,14.1,0.3,2.6,28.6,0.2,1.6,26,0,2.1,72.5,0.1,2.6,35,0.2,1.7,34.4,0.1,2.6
01/07/2017,0.030542087,0.054849342,0.169745803,0.06391266,0.078136437,0.126023918,0.427778666,0.094899817,0.70790082,0.635351661,0.311082278,0.311082278,13.3,0.5,3.9,28.4,0,3.7,24.2,0,4.6,60.9,0,3.9,33.7,0,3.4,32.6,0.3,3.6
03/07/2017,0.025562748,0.085521698,0.150236532,0.040138893,0.069531262,0.054671764,0.427778666,0.094899817,0.70790082,0.635351661,0.311082278,0.311082278,10.9,0.2,3.5,25.6,0,3.6,22.7,0,3.7,65,0,4.2,29.9,0,3.8,28.6,0.1,2.7
06/07/2017,0.025405049,0.098528087,0.076896191,0.030634051,0.035892248,0.071946152,0.427778666,0.094899817,0.70790082,0.635351661,0.311082278,0.311082278,10.6,1.7,3.6,24,0,3.8,22.8,27.7,2.8,64.7,4.6,3.6,28.5,2.3,4.5,27.5,0.6,4.2
07/07/2017,0.025671422,0.073111996,0.089825377,0.058769424,0.038872991,0.086770475,0.176747526,0.129446091,0.074111198,0.036674817,0.377561233,0.377561233,9.6,0.2,4.2,23.9,0,3.6,26.3,0,4.3,57.2,0,4.8,29.5,0,3.2,26,0,4.5
09/07/2017,0.029676497,0.071657926,0.071224615,0.031790785,0.031483293,0.111226931,0.176747526,0.129446091,0.074111198,0.036674817,0.377561233,0.377561233,8.5,0.2,3.4,21.3,0,3,23.1,0,3.4,56.7,0.4,3.9,26.9,0,4.3,24.9,0,4.1
12/07/2017,0.034292199,0.099450216,0.059588343,0.036050633,0.090263538,0.104011253,0.176747526,0.129446091,0.074111198,0.036674817,0.377561233,0.377561233,15.4,5.2,3.7,28,3.3,4.1,27.7,4.4,3.9,72,0,3.8,32.9,0,3.7,35.7,6.5,3.8
13/07/2017,0.031067837,0.065023385,0.070467703,0.053987227,0.079440936,0.104256004,0.176747526,0.129446091,0.074111198,0.036674817,0.377561233,0.377561233,13.8,0.1,4.1,26.5,0,3.9,24.7,0,4.4,61.3,0,3.9,31.3,0,3,34.8,0,3.9
15/07/2017,0.04079235,0.056278169,0.05213226,0.026675658,0.108271241,0.107160285,0.176747526,0.129446091,0.074111198,0.036674817,0.377561233,0.377561233,11.9,0,2.1,26,0.3,2.1,24.6,0.2,2.1,66.3,0,2.4,30.2,0.7,2.1,31.8,0,2.5
18/07/2017,0.023599707,0.049832996,0.059000075,0.042041585,0.036744155,0.026973411,1.254977868,0.108766394,0.37302317,0.033060227,0.299945341,0.299945341,9.9,0.2,4.1,24.3,2.4,3.9,21.6,0,3.7,59.6,0,4.9,26.6,0,4.2,29.5,0.1,4.4
19/07/2017,0.039831545,0.104474008,0.082852386,0.048313215,0.083568379,0.067011349,1.254977868,0.108766394,0.37302317,0.033060227,0.299945341,0.299945341,16.5,28.6,3.5,28.6,2.1,3.2,26.5,23.2,3.9,59.6,0,3.1,26.8,0.1,2.3,32.8,5.9,4.1
21/07/2017,0.032829169,0.080179691,0.045073681,0.035604972,0.148327529,0.073544383,1.254977868,0.108766394,0.37302317,0.033060227,0.299945341,0.299945341,13.6,0.2,4.5,27.9,0,4.8,24.2,0.1,4.1,64,0,5.5,30.9,0,4,29.9,0,4.7
24/07/2017,0.045785703,0.151639804,0.087959863,0.046367273,0.059652805,0.037449829,1.254977868,0.108766394,0.37302317,0.033060227,0.299945341,0.299945341,17.4,3.9,1,29.5,7.4,0.9,26.7,8.4,1.2,63.7,0,1,33.6,0.8,0.9,29.1,1.7,1.6
25/07/2017,0.025909659,0.13318941,0.06596595,0.052294858,0.066572085,0.063484617,1.254977868,0.108766394,0.37302317,0.033060227,0.299945341,0.299945341,16.6,0.3,2.1,28.7,0.7,2.1,25.9,0.8,2.1,54.7,0,2.4,30.9,0,3.1,27.9,0,2.5
27/07/2017,0.032341197,0.095772699,0.084556408,0.039669033,0.110289797,0.059553884,1.515801583,1.271580675,0.391739075,0.711538462,0.388700712,0.388700712,14.5,0.1,3,27.2,0.6,3.4,26,0,3.3,63,0,3.4,32.2,1.9,2.7,29,3.6,2.9
30/07/2017,0.028203838,0.08291246,0.04628947,0.064348996,0.097428508,0.046342641,1.515801583,1.271580675,0.391739075,0.711538462,0.388700712,0.388700712,20.3,16,3.4,30.3,9.8,3.4,28.3,12.2,3.4,62.2,0,3.7,33.8,8.2,3,35.3,17.2,3.6
31/07/2017,0.033909958,0.075886607,0.060699813,0.061479364,0.090764269,0.060121737,1.515801583,1.271580675,0.391739075,0.711538462,0.388700712,0.388700712,16.8,0,3.6,27.9,0.5,3.9,26,0,3.6,59.2,0,4.2,33,0.3,3.6,33.8,0,3.4
02/08/2017,0.030921146,0.076793641,0.05404181,0.050727442,0.079488918,0.051544953,1.515801583,1.271580675,0.391739075,0.711538462,0.388700712,0.388700712,16.4,3.9,2,27.5,1.6,2.1,26,3.2,2.1,63.2,0,2.1,33.3,1.9,1.8,32.5,4.4,2
05/08/2017,0.029928163,0.063224375,0.072242483,0.053271379,0.081719853,0.072114989,1.515801583,1.271580675,0.391739075,0.711538462,0.388700712,0.388700712,15.2,0.7,2.6,25,0.2,3,22.7,1.2,2.8,63.6,0,3.1,31.1,0,3.9,31.9,5.8,2.7
06/08/2017,0.030219464,0.096131817,0.061076578,0.064252205,0.071699835,0.046669766,1.515801583,1.271580675,0.391739075,0.711538462,0.388700712,0.388700712,14,0.1,4,23.8,0,3.5,23.6,0.2,3.9,68,0,4.2,31.2,0.1,3.5,35,0,4
08/08/2017,0.051076353,0.121051222,0.124086417,0.058453143,0.134280935,0.048644084,1.515801583,1.271580675,0.391739075,0.711538462,0.388700712,0.388700712,17,1.1,1.6,27.4,1.5,1.5,23.2,0.2,1.3,62.3,0,1.5,31.5,15.5,0.7,32.4,6,1.3
11/08/2017,0.034048423,0.073208123,0.05146182,0.06216507,0.062420081,0.043596543,0.278515578,0.066230517,0.04717992,0.04085294,0.923711573,0.923711573,18.6,0.1,3.8,27.2,0,3.6,24.6,0.2,3.6,64.1,0,4.1,31.1,0,2.9,34.9,0.1,4
12/08/2017,0.032134276,0.089843713,0.076496467,0.062121142,0.124396659,0.054848321,0.278515578,0.066230517,0.04717992,0.04085294,0.923711573,0.923711573,16.3,0,2.6,26.2,0,2.9,23,0,2.4,59.5,0,2.8,31.5,0,2.4,34.5,0,3.4
14/08/2017,0.040965777,0.07869596,0.090981394,0.049295131,0.076493941,0.065390632,0.278515578,0.066230517,0.04717992,0.04085294,0.923711573,0.923711573,14.7,0.2,3.3,26.1,0,3.3,22.8,0,3.3,68,0,3.5,29,0,3.5,32.2,0,3.4
17/08/2017,0.03058954,0.083030745,0.057200842,0.065874778,0.078845225,0.052175362,0.278515578,0.066230517,0.04717992,0.04085294,0.923711573,0.923711573,15.6,6.5,3.2,30.5,12.5,3.5,24.4,7.6,3.1,62,0,3.7,34.1,17.6,3.1,36.5,8,3.3
18/08/2017,0.036571309,0.081979983,0.103245124,0.063946322,0.155915856,0.060104098,0.278515578,0.066230517,0.04717992,0.04085294,0.923711573,0.923711573,15.7,10.1,2.9,30.7,3.4,3.3,23.5,3.3,3.1,64.6,0,3.3,33.2,6,2.7,35.1,5.9,3.3
20/08/2017,0.033774815,0.078810431,0.096934162,0.04544843,0.164580718,0.061385356,0.278515578,0.066230517,0.04717992,0.04085294,0.923711573,0.923711573,16.8,0.1,2.6,26.9,0,2.7,23,0.1,2.7,59.3,0,2.8,32.2,0,2.5,34.7,1,3.3
23/08/2017,0.029202424,0.056225542,0.041120887,0.044869252,0.075529814,0.05914728,0.278515578,0.066230517,0.04717992,0.04085294,0.923711573,0.923711573,15.5,0.8,2.1,26.8,0,2.1,21.7,0,2,59.4,0,2,31.8,0.6,1.7,33.7,0,2.7
24/08/2017,0.029968083,0.092853062,0.083847567,0.063951291,0.124423288,0.073411852,0.278515578,0.066230517,0.04717992,0.04085294,0.923711573,0.923711573,14,0,2.7,26.2,0,2.7,21.1,0,2.7,63.4,0,3,29.7,0,2.7,32.4,0,2.9
29/08/2017,0.028266247,0.063122958,0.045202877,0.039321005,0.093220115,0.050770737,0.033738324,0.031923403,0.076514481,0.022607745,0.049717387,0.049717387,10.4,0.1,2.8,24.3,0.8,2.6,18.2,0,2.8,56.8,0,2.3,27.3,0,1.2,29.4,0.3,2.8
30/08/2017,0.038694728,0.103222467,0.116747506,0.057351388,0.211073011,0.114648305,0.033738324,0.031923403,0.076514481,0.022607745,0.049717387,0.049717387,11.1,5.7,0.9,24,3.4,1.4,18.6,0,0.8,57.2,0,1,24.8,0.8,1.2,30.3,4.7,1
01/09/2017,0.043958928,0.085355878,0.053842645,0.047459915,0.207230181,0.160068065,0.033738324,0.031923403,0.076514481,0.022607745,0.049717387,0.049717387,14,0,2.7,24.7,0,2.9,20.6,0,3.2,71.7,0,2.9,26.1,0.3,2.8,35.6,0.1,2.9
04/09/2017,0.022270106,0.05794847,0.05309929,0.044851974,0.130108282,0.055477083,0.033738324,0.031923403,0.076514481,0.022607745,0.049717387,0.049717387,12.1,1.6,1.2,24,0.5,1.1,18.9,0.9,1.1,62.8,0,1.2,28.2,1.3,1.4,34.4,1.2,1.1
05/09/2017,0.028530009,0.077067539,0.069326036,0.071051002,0.246801227,0.076714002,0.033222391,-0.052972309,-0.016506846,0.708126551,0.006877662,0.006877662,12.3,0.3,1.4,23.2,2.4,1.3,18.5,0.2,1.2,67.4,0,1.3,30.7,12.6,1.1,33,0.3,1.6
07/09/2017,0.034656152,0.05933217,0.081838921,0.045952123,0.216952592,0.056013308,0.033222391,-0.052972309,-0.016506846,0.708126551,0.006877662,0.006877662,10.8,0.8,2.4,24.4,4.5,2.3,18.5,3.1,2.4,69.6,0,2.4,32.8,1.4,1.8,31.8,0.1,2.4
10/09/2017,0.041782707,0.084573656,0.083800144,0.069973573,0.2299999,0.050109819,0.033222391,-0.052972309,-0.016506846,0.708126551,0.006877662,0.006877662,16.4,1.7,1.6,29.2,0.4,1.4,23.6,2.2,1.2,77.9,0,1.4,34.9,0.1,1.3,34,0.3,1.6
11/09/2017,0.031630937,0.098662332,0.094872892,0.06257534,0.229131848,0.242207497,0.033222391,-0.052972309,-0.016506846,0.708126551,0.006877662,0.006877662,16.8,1.2,1.7,29.4,5.2,1.9,25.6,3.3,1.5,74.9,0,1.6,36.1,3.9,1.8,35.1,7.7,2.1
13/09/2017,0.033154495,0.085314669,0.101257205,0.038615197,0.165255129,0.165208787,0.033222391,-0.052972309,-0.016506846,0.708126551,0.006877662,0.006877662,16.5,1.2,2.2,29.5,2.2,2.4,24.3,2.3,2,68.7,0,2.5,33.7,0.1,2.6,35.2,0.6,2.9
16/09/2017,0.038239703,0.08354678,0.101610906,0.074406557,0.249469489,0.108907446,1.431887417,1.195704768,0.654783306,0.796028881,1.15399598,1.15399598,20.3,2.4,1.4,32.6,5.4,1.1,27.4,9.6,1.3,89.8,0,1,37.1,4.8,1.3,37,2,1.3
17/09/2017,0.034614291,0.090181954,0.13005136,0.067399934,0.235074326,0.172869325,1.431887417,1.195704768,0.654783306,0.796028881,1.15399598,1.15399598,21.3,5.4,1.3,32.8,0.6,1.7,27.8,0.9,2,76.3,0,1.3,38.5,5.1,1.5,38.5,5.1,1.3
19/09/2017,0.043438058,0.124929264,0.14607814,0.04583402,0.233289868,0.119800001,1.431887417,1.195704768,0.654783306,0.796028881,1.15399598,1.15399598,19.2,0.2,1.5,29,0,1.6,25.6,0.3,1.9,65.3,0,1.5,34.1,0,2.1,37.8,0.2,1.6
22/09/2017,0.025591547,0.068833776,0.102588013,0.063665293,0.204779774,0.049575299,1.431887417,1.195704768,0.654783306,0.796028881,1.15399598,1.15399598,17.6,0.1,2.3,28.6,0,2,23,0,2.7,76.9,0,2.2,38,0.3,2.5,34.1,0,2.6
