Date,EUSTN_VV,FINCH_VV,MORLY_VV,RISEH_VV,RDMER_VV,ELMST_VV,WRTTL_VV,WIMPL_VV,CARDT_VV,ROTHD_VV,CHOBH_VV,EUSTN_NDVI,FINCH_NDVI,MORLY_NDVI,RISEH_NDVI,RDMER_NDVI,ELMST_NDVI,WRTTL_NDVI,WIMPL_NDVI,CARDT_NDVI,ROTHD_NDVI,CHOBH_NDVI,EUSTN_VWC,EUSTN_P,EUSTN_PE,FINCH_VWC,FINCH_P,FINCH_PE,MORLY_VWC,MORLY_P,MORLY_PE,RDMER_VWC,RDMER_P,RDMER_PE,RISEH_VWC,RISEH_P,RISEH_PE,ELMST_VWC,ELMST_P,ELMST_PE,WRTTL_VWC,WRTTL_P,WRTTL_PE,WIMPL_VWC,WIMPL_P,WIMPL_PE,CARDT_VWC,CARDT_P,CARDT_PE,ROTHD_VWC,ROTHD_P,ROTHD_PE,CHOBH_VWC,CHOBH_P,CHOBH_PE
01/01/2017,0.036376894,0.129838824,0.174840927,0.053459398,0.12840414,0.213641033,0.056463789,0.062562689,0.041554887,0.166142017,0.061923616,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.5,7.4,0.3,0,0,0,29.9,6.8,0.2,73.7,8.1,0.2,42.2,9.2,0.4,45.3,5.4,0.2,0,0,0,0,0,0,25.9,7.8,0.2,34.1,6.7,0.2,55.7,13,0.2
04/01/2017,0.043274786,0.107683674,0.171520606,0.03314041,0.170810208,0.266354173,0.067825079,0.05491868,0.029141601,0.201614201,0.064542346,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,18.1,0,0.5,0,0,0,27.1,1.6,0.4,56.7,0.2,0.5,36.5,0,0.7,39.9,0.3,0.5,0,0,0,0,0,0,23.5,0.3,0.3,32.1,0.4,0.4,52.8,0.1,0.5
07/01/2017,0.02651516,0.075593978,0.141139627,0.060558669,0.11114718,0.20878236,0.053729851,0.056603245,0.068617761,0.130926698,0.077536814,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.3,0.4,0.1,0,0,0,30.9,0.4,0.1,75.5,0.3,0.1,37.4,0,0.1,42.3,0.3,0.1,0,0,0,0,0,0,26,2.2,0.1,34.4,2.4,0.1,59,2.1,0.2
10/01/2017,0.064490341,0.123372197,0.167937502,0.089625239,0.18114695,0.293176383,0.091704726,0.0786383,0.044220041,0.285137087,0.064087898,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.6,0,0.5,0,0,0,29.9,0.4,0.4,74,0,0.5,37.9,0,0.6,45,0.2,0.5,0,0,0,0,0,0,26.4,0,0.5,34.6,0,0.4,58.7,0,0.4
13/01/2017,0.039694171,0.087913066,0.126162112,0.051285509,0.149276167,0.2276759,0.046127982,0.050101798,0.039725374,0.178836867,0.06295339,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,20.3,1.9,0.7,0,0,0,27.1,4.7,0.4,64.3,0.8,0.6,36.8,0.8,1,44.3,0.8,0.8,0,0,0,0,0,0,26.7,0.2,0.7,35.2,0.3,0.5,57.9,0,0.6
16/01/2017,0.053083315,0.077759713,0.179597333,0.042642742,0.201914191,0.231781989,0.063495412,0.069652185,0.04276035,0.190004215,0.081500992,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,21.2,0,0.4,0,0,0,30.4,0,0.4,78.7,1.6,0.2,44.1,4.8,0.2,45.4,0,0.5,0,0,0,0,0,0,30.4,6.2,0.1,36.9,5.7,0.2,64.6,4.7,0.1
19/01/2017,0.028934538,0.055718727,0.087198175,0.058633231,0.087695867,0.127811283,0.033148561,0.033090003,0.038542327,0.10607928,0.067223586,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,18.9,0,0.4,0,0,0,29.8,0,0.4,83.3,0,0.4,42.3,0.1,0.1,40,0,0.5,0,0,0,0,0,0,27.6,0,0.4,34,0,0.7,54.7,0.2,0.6
22/01/2017,0.022713024,0.041991904,0.066607006,0.041726884,0.055567015,0.084549904,0.036584135,0.022565395,0.020977575,0.090472326,0.039218638,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.7,0,0.6,0,0,0,27.5,0.1,0.5,74.9,0.2,0.5,40,0,0.3,43.1,0,0.5,0,0,0,0,0,0,27.1,0,0.4,32.1,0.1,0.6,64.1,0.1,0.6
25/01/2017,0.032594264,0.061108988,0.138402313,0.046091031,0.125785246,0.138850152,0.044411555,0.04703892,0.030851193,0.171299338,0.055210762,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.6,0.1,0.3,0,0,0,28.7,0,0.2,71.4,0.2,0.2,39.2,0,0.3,45.4,0.2,0.2,0,0,0,0,0,0,26.9,0,0.3,33.7,0.2,0.2,59.3,0.2,0.3
28/01/2017,0.039751843,0.073029429,0.21759817,0.036737371,0.125445664,0.216794714,0.050574906,0.105641849,0.030831043,0.146398664,0.068419948,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,18.7,0.1,0.6,0,0,0,28.3,0,0.5,66.9,0.2,0.6,42.9,1.2,0.4,43.2,0.9,0.4,0,0,0,0,0,0,27.5,0.2,0.5,34.1,0.7,0.4,59.3,0.5,0.9
31/01/2017,0.037484642,0.063295931,0.126180485,0.065090567,0.129877836,0.178708643,0.054451868,0.203771845,0.043029241,0.112319879,0.073938102,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.5,5.1,0.6,0,0,0,28.6,2.7,0.5,63.7,5,0.5,40.6,9.1,0.3,42.9,2.8,0.4,0,0,0,0,0,0,28.6,2.7,0.2,36.3,3.8,0.1,60.3,2.1,0.1
03/02/2017,0.058538534,0.138488576,0.149726212,0.041994292,0.170948207,0.365719885,0.072369628,0.203655005,0.034661449,0.153096318,0.067929432,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,20,0,0.8,0,0,0,28.2,0.4,0.7,64.3,0.2,0.8,39.9,0.2,0.8,44.6,0.8,0.7,0,0,0,0,0,0,28.4,1,0.9,33.6,1.9,0.8,61.5,4.7,0.5
06/02/2017,0.031470589,0.069126971,0.105534121,0.04125192,0.119410217,0.175445691,0.045840584,0.154516727,0.037542019,0.153737232,0.055971809,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,18.6,1.4,0.5,0,0,0,28.9,0.5,0.5,63.3,2.4,0.6,38.4,3.8,0.5,40.7,1.4,0.4,0,0,0,0,0,0,28.2,6,0.5,33.2,6.1,0.6,58.9,6.6,0.6
09/02/2017,0.045941669,0.111268014,0.152200371,0.041101906,0.172749579,0.279033691,0.05156938,0.23464109,0.041431762,0.200368077,0.054455712,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,18.4,0.1,0.3,0,0,0,28.4,0,0.2,70,0,0.3,40.4,0,0.4,44.9,0,0.3,0,0,0,0,0,0,27,0,0.4,32.6,0,0.4,60,0.5,0.3
12/02/2017,0.04417485,0.074326977,0.131203905,0.054032024,0.141764402,0.289576411,0.047934841,0.213528499,0.051413789,0.126994371,0.083990887,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,22.2,4.4,0.3,0,0,0,32.2,8.3,0.2,69.2,4,0.2,42.5,3.3,0.4,45.5,1.2,0.3,0,0,0,0,0,0,29,3.2,0.2,34.8,0.8,0.2,60.9,0.2,0.4
15/02/2017,0.024954077,0.080451198,0.149389535,0.040812761,0.207492828,0.327597737,0.053896077,0.176560506,0.041839689,0.157636017,0.059121974,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.6,1.5,0.7,0,0,0,29.7,2.8,0.5,68.4,1.8,0.6,40.9,9.5,0.5,44.2,0.6,0.6,0,0,0,0,0,0,29.7,2.1,0.5,35.5,2.2,0.3,58.2,2.3,0.3
18/02/2017,0.034863502,0.091356307,0.103435889,0.060149234,0.090864345,0.16862826,0.043363448,0.160504237,0.04059254,0.10571032,0.053143956,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,18.9,0,0.5,0,0,0,28.8,0,0.5,71.1,0,0.4,43.2,0,0.6,42.7,0,0.5,0,0,0,0,0,0,29.2,0,0.5,32.6,0,0.4,61.5,0,0.7
21/02/2017,0.041439623,0.091488034,0.206251681,0.045974471,0.135906219,0.123443902,0.053100541,0.103560746,0.040470056,0.141239882,0.077281103,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,15.9,0,0.9,0,0,0,25.7,0,0.9,56.9,0,0.8,35.7,0,1,37.5,0,0.6,0,0,0,0,0,0,26.6,0.3,0.6,31.4,0,0.6,53.7,1.5,0.7
24/02/2017,0.027276879,0.065777473,0.103658877,0.053519376,0.099844776,0.183818907,0.03836618,0.097673401,0.033825785,0.07757818,0.064215004,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.9,0.2,0.8,0,0,0,28.4,1.4,0.6,70.8,0.1,0.8,39.6,0,1.2,43.2,0,0.8,0,0,0,0,0,0,28.6,0,1.2,31.1,0,1.4,56.9,0,1.2
27/02/2017,0.04365854,0.110468209,0.194268793,0.043508839,0.161905676,0.229932636,0.039406255,0.095018916,0.030862371,0.185599416,0.061847895,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.5,1,0.8,0,0,0,30.3,2.3,0.6,74.2,2.1,0.7,39.5,3,0.6,46.4,7.7,0.5,0,0,0,0,0,0,27.9,0.8,0.7,32.5,0.9,0.7,60.2,13,0.5
02/03/2017,0.040124547,0.081051752,0.119876407,0.04762996,0.237701744,0.125752792,0.036570035,0.102860481,0.056684475,0.093656033,0.061746269,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,21.7,1.8,1.5,0,0,0,31.6,9.2,1,70.4,0.5,1.4,41.2,6.1,1.4,45.4,0.3,1.7,0,0,0,0,0,0,29.1,0.2,1.8,32.8,0.1,2,57.2,0,1.9
05/03/2017,0.056760374,0.121415839,0.168053195,0.036923438,0.345050663,0.246388718,0.056366578,0.124392904,0.032828934,0.195631757,0.075992651,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,20.2,3,0.8,0,0,0,29.8,2.6,0.6,73.1,2.4,0.7,41.2,6.6,0.5,45.8,4.4,0.9,0,0,0,0,0,0,30.5,3.6,1,34.8,3.8,1.2,55.8,4.8,1.2
08/03/2017,0.044523455,0.086692207,0.097114339,0.061495885,0.330292672,0.262636781,0.036386475,0.248507321,0.041758887,0.17292583,0.079688407,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,21.7,6.9,1.2,0,0,0,30,7.6,1.1,63.3,4.8,0.9,40.5,3.6,1.3,45.5,6.4,0.6,0,0,0,0,0,0,29.1,1.6,0.8,33.7,2.4,0.7,58.6,1.9,0.9
11/03/2017,0.046546564,0.100557297,0.144728839,0.046464536,0.281752229,0.167259395,0.046151526,0.103937715,0.063035488,0.119032934,0.067560524,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,20,0,1,0,0,0,29.5,0,1,74.8,0,1,39.5,0,0.6,43.2,0,0.9,0,0,0,0,0,0,27.2,0,0.9,32.3,0,0.8,60.5,0,1
14/03/2017,0.032309856,0.060638897,0.07838843,0.044533789,0.165802568,0.066099219,0.031466592,0.063841462,0.046496235,0.08464051,0.07735981,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,18.1,0.1,1.2,0,0,0,27.6,0,1.2,67.5,0.2,1.3,38.9,0,1.6,42.4,0,1,0,0,0,0,0,0,31,0,1.2,33.6,0.1,0.9,60.1,0.2,1
17/03/2017,0.048485022,0.066887505,0.099903263,0.027853869,0.134596542,0.093798868,0.029228076,0.067961328,0.032877367,0.14805977,0.065252185,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,16.6,0,1.7,0,0,0,24,0.2,1.3,69.9,0,1.5,37.1,0,1.4,35.8,0.1,1.8,0,0,0,0,0,0,27.6,0,1.5,29.1,0,1.4,61.2,0,1.8
20/03/2017,0.057327557,0.078477085,0.104462966,0.04467985,0.115253761,0.226302922,0.07129021,0.263009906,0.043540765,0.085259005,0.072226778,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,20.5,7.2,0.9,0,0,0,27.5,7.3,0.6,64.7,7.9,0.8,38.2,9.1,0.8,40.2,6.1,0.7,0,0,0,0,0,0,28.1,5.8,0.9,31.6,3.2,0.6,57.5,2.1,0.7
23/03/2017,0.059573304,0.095100813,0.191862911,0.042570978,0.179210305,0.236502022,0.041450806,0.281034529,0.040870015,0.10667368,0.062803544,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,19.8,1,1.6,0,0,0,25.7,0.1,1.5,61.1,2.1,1.8,39.1,1.5,1.7,39.7,0.5,1.4,0,0,0,0,0,0,29.9,4.5,1.5,34.1,2.9,1.5,57.6,2.8,1.5
26/03/2017,0.029820384,0.063985094,0.081783451,0.044638053,0.053261276,0.047591858,0.042689178,0.045746706,0.04319223,0.047216546,0.067928419,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,17.5,0,1.9,0,0,0,24.3,0,1.8,71.5,0,2,36.1,0,2.1,33.7,0,1.8,0,0,0,0,0,0,27.2,0,1.8,29.8,0,2.2,56.5,0,2.5
29/03/2017,0.045124881,0.084706992,0.112803042,0.038723994,0.114267103,0.0783052,0.03433609,0.070077024,0.024834258,0.065400183,0.064445995,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,17.5,0,1.5,0,0,0,25.9,1.3,1.4,80.9,0.2,1.4,40.7,1.5,1.2,36,0,1.6,0,0,0,0,0,0,26,0.2,1.3,31,0,0.9,55.7,0,0.9
01/04/2017,0.022401901,0.05338861,0.072746612,0.041623823,0.051828556,0.020438083,0.043398555,0.062920645,0.040431723,0.037257463,0.078035191,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,13.7,0,2.1,0,0,0,21.5,0,1.9,71.6,0,2.1,35.3,0,1.2,31.9,0,2,0,0,0,0,0,0,22.2,0,2,25.8,0.4,2,52.7,0.5,1.7
04/04/2017,0.032690052,0.063592993,0.115160823,0.027261602,0.084433869,0.077495962,0.041473728,0.058373563,0.033334151,0.055241454,0.069419257,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,13,0,1.5,0,0,0,20.9,0,1.3,71.1,0,1.5,35.1,0.8,1.1,31.8,0,1.3,0,0,0,0,0,0,21.8,0.1,0.9,25,0.1,0.8,59.1,1.5,0.9
07/04/2017,0.038280942,0.043094859,0.082448125,0.039083283,0.072068475,0.025493074,0.034630727,0.049172722,0.033264771,0.04173227,0.055819485,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,11.4,0,2.1,0,0,0,18.8,0,2,61.9,0,2.1,32.4,0,1.4,32.7,0,2.2,0,0,0,0,0,0,20.7,0,2.1,25.1,0,2.1,55.2,0,2.9
10/04/2017,0.031102052,0.047280461,0.069186196,0.030149302,0.079578832,0.033163909,0.034774922,0.04882722,0.021463037,0.039812434,0.057279408,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,9,0,2.1,0,0,0,17.8,0,1.8,59.2,0,2,29.1,0,2.1,29.2,0,2.2,0,0,0,0,0,0,18.1,0,2.2,22.6,0,2.1,48,0,2.4
13/04/2017,0.026211474,0.030049004,0.053645555,0.032928012,0.061691899,0.032896399,0.04534268,0.043343462,0.027760323,0.075241879,0.084571913,0.504073365,0.145496436,0.40978116,0.026754666,0.897587374,0.190114106,0.147741705,0.453804121,0.795924574,0.268760908,-0.029730458,7.8,0,2.1,0,0,0,16.9,0,2,59.7,0,2.2,28.7,0,1.8,27.6,0,2,0,0,0,0,0,0,17.3,0,1.9,20.3,0,2,44,0,2.3
