SITE_ID,Lon,Lat
ALIC1,-0.858232,51.153551
BALRD,-3.1114881,56.482297
BICKL,-2.7005297,53.02635
BUNNY,-1.12685,52.86073
CARDT,-0.424644,52.105601
CHIMN,-1.4787658,51.708021
CHOBH,-0.597484,51.367821
CRICH,-3.583386,55.043057
EASTB,-3.207115,55.867392
ELMST,0.9930645,52.094647
EUSTN,0.7847112,52.383178
GISBN,-2.384689,54.023711
GLENS,-2.5621547,56.914403
GLENW,-6.0045994,54.838087
HADLW,0.320276,51.228582
HARTW,-3.828995,55.810254
HARWD,-2.025488,55.216677
HILLB,-6.068526,54.446959
HOLLN,-0.959477,54.110665
ROTHD,-0.378304,51.813787
CGARW,-4.746634,51.951295
COCHN,-4.4035431,55.941421
COCLP,-1.6943736,55.216013
FINCH,0.5107284,52.617773
HENFS,-4.01255,53.225198
HYBRY,-2.079616,51.20277
LIZRD,-5.19999,50.03266
LODTN,-0.8264188,52.610159
LULLN,0.18887,50.79372
MORLY,1.0342313,52.548146
NWYKE,-3.905963,50.773479
PLYNL,-3.762572,52.453337
PORTN,-1.681482,51.120071
RDMER,0.42104,52.44577
REDHL,0.4291348,51.26287
RISEH,-0.5259074,53.261647
MOORH,-2.4678,54.659417
SHEEP,-1.481903,51.530244
SOURH,-2.229989,55.479876
SPENF,-1.31886,53.86886
STIPS,-2.9446865,52.581248
TADHM,-2.82881,51.207417
WADDN,-0.948405,51.839436
WRTTL,0.417923,51.733896
STGHT,-1.047046,52.601667
